team,rating,date
Man. City,93.4,2022-04-12 04:30:46.841847
Liverpool,93.3,2022-04-12 04:30:46.841847
Bayern Munich,92.8,2022-04-12 04:30:46.841847
Chelsea,88.1,2022-04-12 04:30:46.841847
Barcelona,85.8,2022-04-12 04:30:46.841847
Real Madrid,85.0,2022-04-12 04:30:46.841847
Ajax,84.9,2022-04-12 04:30:46.841847
RB Leipzig,83.9,2022-04-12 04:30:46.841847
PSG,83.6,2022-04-12 04:30:46.841847
Inter Milan,82.1,2022-04-12 04:30:46.841847
Tottenham,81.7,2022-04-12 04:30:46.841847
Arsenal,81.3,2022-04-12 04:30:46.841847
Dortmund,80.7,2022-04-12 04:30:46.841847
Villarreal,79.9,2022-04-12 04:30:46.841847
RB Salzburg,79.3,2022-04-12 04:30:46.841847
Atlético Madrid,79.3,2022-04-12 04:30:46.841847
Porto,79.2,2022-04-12 04:30:46.841847
Man. United,78.3,2022-04-12 04:30:46.841847
Athletic Bilbao,78.1,2022-04-12 04:30:46.841847
Atalanta,77.2,2022-04-12 04:30:46.841847
Leverkusen,77.1,2022-04-12 04:30:46.841847
Sporting,76.8,2022-04-12 04:30:46.841847
AC Milan,76.4,2022-04-12 04:30:46.841847
Napoli,76.0,2022-04-12 04:30:46.841847
Aston Villa,75.8,2022-04-12 04:30:46.841847
Real Sociedad,75.6,2022-04-12 04:30:46.841847
Real Betis,74.7,2022-04-12 04:30:46.841847
Brighton,74.7,2022-04-12 04:30:46.841847
PSV,74.6,2022-04-12 04:30:46.841847
Crystal Palace,74.4,2022-04-12 04:30:46.841847
Juventus,74.3,2022-04-12 04:30:46.841847
Mainz,74.2,2022-04-12 04:30:46.841847
Rennes,73.8,2022-04-12 04:30:46.841847
Feyenoord,73.8,2022-04-12 04:30:46.841847
Sevilla,73.5,2022-04-12 04:30:46.841847
Benfica,73.4,2022-04-12 04:30:46.841847
Fiorentina,73.4,2022-04-12 04:30:46.841847
Celta Vigo,73.4,2022-04-12 04:30:46.841847
Roma,73.3,2022-04-12 04:30:46.841847
Lyon,73.1,2022-04-12 04:30:46.841847
Lazio,73.0,2022-04-12 04:30:46.841847
Brentford,72.1,2022-04-12 04:30:46.841847
Monaco,72.0,2022-04-12 04:30:46.841847
Lille,71.7,2022-04-12 04:30:46.841847
Wolves,71.6,2022-04-12 04:30:46.841847
West Ham,71.5,2022-04-12 04:30:46.841847
Zenit,71.2,2022-04-12 04:30:46.841847
Union Berlin,70.8,2022-04-12 04:30:46.841847
Hoffenheim,70.7,2022-04-12 04:30:46.841847
1. FC Köln,70.3,2022-04-12 04:30:46.841847
SC Freiburg,70.2,2022-04-12 04:30:46.841847
Strasbourg,69.9,2022-04-12 04:30:46.841847
Gladbach,69.9,2022-04-12 04:30:46.841847
Valencia,69.8,2022-04-12 04:30:46.841847
Marseille,69.6,2022-04-12 04:30:46.841847
Eintracht,69.5,2022-04-12 04:30:46.841847
Leicester,69.5,2022-04-12 04:30:46.841847
Getafe,69.1,2022-04-12 04:30:46.841847
Celtic,69.1,2022-04-12 04:30:46.841847
Osasuna,68.9,2022-04-12 04:30:46.841847
Torino,68.0,2022-04-12 04:30:46.841847
Udinese,67.6,2022-04-12 04:30:46.841847
Flamengo,67.5,2022-04-12 04:30:46.841847
Wolfsburg,67.2,2022-04-12 04:30:46.841847
Newcastle,67.1,2022-04-12 04:30:46.841847
VfL Bochum,66.8,2022-04-12 04:30:46.841847
Rayo Vallecano,66.7,2022-04-12 04:30:46.841847
Verona,66.6,2022-04-12 04:30:46.841847
Southampton,66.3,2022-04-12 04:30:46.841847
Dinamo Zagreb,64.9,2022-04-12 04:30:46.841847
Braga,64.9,2022-04-12 04:30:46.841847
Slavia Prague,64.8,2022-04-12 04:30:46.841847
AZ Alkmaar,64.8,2022-04-12 04:30:46.841847
Sassuolo,64.5,2022-04-12 04:30:46.841847
Fulham,64.0,2022-04-12 04:30:46.841847
Atlético Mineiro,64.0,2022-04-12 04:30:46.841847
Rangers,64.0,2022-04-12 04:30:46.841847
Club Brugge,63.7,2022-04-12 04:30:46.841847
Shakhtar,63.7,2022-04-12 04:30:46.841847
Leeds United,63.7,2022-04-12 04:30:46.841847
VfB Stuttgart,63.1,2022-04-12 04:30:46.841847
Espanyol,62.9,2022-04-12 04:30:46.841847
FC Augsburg,62.9,2022-04-12 04:30:46.841847
Palmeiras,62.8,2022-04-12 04:30:46.841847
